year,rank,city,pop
1790,1,Philadelphia,44.1
1790,2,New York,33.1
1790,3,Boston,18.3
1790,4,Charleston,16.4
1790,5,"Salem, MA",13.6
1790,6,Baltimore,13.5
1790,7,"Newport, RI",6.7
1790,8,Providence,6.4
1790,9,"Gloucester, MA",5.3
